RP_ENTITY_ID,COMPANY_NAME
BB5271,Akamai Technologies Inc.
BB88B6,ServiceNow Inc.
BBBB41,AGCO Corp.
BBF349,Synaptics Inc.
BC948D,Liberty Broadband Corp.
BD3834,Lucid Group Inc.
9548BB,Carlisle Cos. Inc.
954E30,McDonald's Corp.
95C392,Blackline Inc.
95DC1F,Kroger Co.
6H0L6H,Blackstone Secured Lending Fund Co.
D03C7A,Kinsale Capital Group Inc.
D06755,Littelfuse Inc.
D0909F,Hess Corp.
D09938,Monster Beverage Corp.
QK2LOR,Paycor HCM Inc.
QOO7LB,Concentrix Corp.
A94637,AAON Inc.
A9A026,Sensata Technologies Holding PLC
AA247D,Western Alliance Bancorp.
AA5C8E,Kinder Morgan Inc.
AA7FE0,CarMax Inc.
AA98ED,Hasbro Inc.
AADE0B,Arthur J. Gallagher & Co.
AAEE21,OneMain Holdings Inc.
F702CA,Sonoco Products Co.
F748C7,Williams-Sonoma Inc.
F7902B,Silicon Labs
F83279,OGE Energy Corp.
F85CC0,Ingredion Inc.
F8B149,Cirrus Logic Inc.
F93C8A,Alliant Energy Corp.
F9CAF8,Eagle Materials Inc.
143C52,Dollar Tree Inc.
147C38,Southern Co.
1490F3,Digital Realty Trust Inc.
14A113,Louisiana-Pacific Corp.
14BA06,Devon Energy Corp.
14C7B2,Keurig Dr. Pepper Inc.
14ED2B,Estee Lauder Cos. Inc.
152AB9,Option Care Health Inc.
159739,Sun Communities Inc.
159AE4,Kimco Realty Corp.
15A388,Parsons Corp.
15ABD0,Jacobs Solutions Inc.
160825,Chord Energy Corp.
164D72,SLB Ltd.
168A5D,Berkshire Hathaway Inc.
16C7F0,Prosperity Bancshares Inc.
1782D5,Range Resources Corp.
1791E7,BorgWarner Inc.
17EDA5,Intel Corp.
18311E,Texas Pacific Land Corp.
188394,FMC Corp.
18EC17,Intuitive Surgical Inc.
190100,MPLX LP
190B91,Fiserv Inc.
1921DD,GE Aerospace
192727,Five9 Inc.
1A3E1B,Truist Financial Corp.
1BC12C,GM (General Motors Co.)
1BDB2A,MKS Inc.
1C2593,BJ's Wholesale Club Holdings Inc.
1C32D1,Doximity Inc.
1D1B07,Constellation Brands Inc.
1D9E55,Global Payments Inc.
1DA44F,Penske Automotive Group Inc.
1D4A78,Southern Copper Corp.
1DEBBE,Hilton Grand Vacations Inc.
1E169E,SBA Communications Corp.
1E5786,Home BancShares Inc.
1E68B3,Reinsurance Group of America Inc.
1EBF8D,Merck & Co. Inc.
1F43A1,W. P. Carey Inc.
1F716B,Molina Healthcare Inc.
1F9258,Celsius Holdings Inc.
1F9D90,Waters Corp.
1FAF22,Baxter International Inc.
3FACA7,Phillips 66 Co.
3FB145,Corteva Inc.
PN1PN1,Corebridge Financial Inc.
5B3A71,Toast Inc.
5B6C11,Franklin Resources Inc.
5B7739,SunRun Inc.
5BC2F4,State Street Corp.
5C7601,Lincoln National Corp.
5C8D61,Amkor Technology Inc.
5CC29D,Lamb Weston Holdings Inc.
5D02B7,NOV Inc.
5D0337,Columbia Sportswear Co.
5D43A7,AptarGroup Inc.
5D63F1,Choice Hotels International Inc.
5DAF89,Dun & Bradstreet Holdings Inc.
5DD486,CME Group Inc.
5DE5A5,Pool Corp.
5E6959,Roper Technologies Inc.
5E7E82,Best Buy Co. Inc.
5F2FF7,Delta Air Lines Inc.
5F9CE3,Quest Diagnostics Inc.
0ED415,Cullen/Frost Bankers Inc.
0FB47C,Enterprise Products Partners LP
AD6141,Equitable Holdings Inc.
ADA50C,Pinterest Inc.
ADF092,Warner Bros Discovery Inc.
AE4EEB,Equity Residential Corp.
AE8A7E,Rivian Automotive Inc.
AED61E,HealthEquity Inc.
AED763,Allegro MicroSystems Inc.
AFD7DD,Evergy Inc.
AFEC35,Public Storage Inc.
AFF7B4,Unum Group Co.
WDJL5K,Apollo Global Management Inc.
7BFF81,Fox Corp.
7C62A3,Qorvo Inc.
7CBC40,TriNet Group Inc.
7D5FD6,PulteGroup Inc.
7D85A9,Cencora Inc.
7D97DE,ExlService Holdings Inc.
ED0402,CoStar Group Inc.
ED3CA8,American Homes 4 Rent LLC
ED79D9,Agilent Technologies Inc.
ED9576,Knight-Swift Transportation Hldgs Inc.
EDB6E1,Blue Owl Capital Corp.
EE1E44,United Bankshares Inc.
EE6F1C,L3Harris Technologies Inc.
EEA6B3,Coca-Cola Co.
EEEA9F,Ingersoll-Rand Inc.
EF5BED,Bank of New York Mellon Corp.
EFD406,DaVita Inc.
EFDADF,Rexford Industrial Realty Inc.
420168,BXP Inc.
420CE9,Envista Holdings Corp.
423279,Commerce Bancshares Inc.
425040,FS KKR Capital Corp.
42AABD,Black Knight Inc.
431B74,Deere & Co.
434F38,ResMed Inc.
43A74A,Tenet Healthcare Corp.
43E8F5,Lantheus Holdings Inc.
442769,Tyler Technologies Inc.
4458AA,Hubspot Inc.
E00373,Euronet Worldwide Inc.
E0207A,SS&C Technologies Holdings Inc.
E0339F,Textron Inc.
E05DC8,Reliance Inc.
E09E2B,NVIDIA Corp.
E10D31,Edison International Co.
E124EB,Danaher Corp.
E12A6E,STAG Industrial Inc.
E15736,Diamondback Energy Inc.
E1C16B,The Allstate Corp.
E1E36F,Rayonier Inc.
E206B0,The Travelers Companies Inc.
E21871,Williams Cos. Inc.
E26FC3,CSX Corp.
E2866E,Cloudflare Inc.
E28F22,MGIC Investment Corp.
E2F66E,MasTec Inc.
E30B34,Interpublic Group of Cos. Inc.
E3E68E,XPO Inc.
E49AA3,Motorola Solutions Inc.
E4CE73,Keysight Technologies Inc.
E4DCB7,Valaris Ltd.
E68C3D,Analog Devices Inc.
