RP_ENTITY_ID,COMPANY_NAME
D5895C,Symrise AG
D5C2D9,BE Semiconductor Industries N.V.
D68276,Telefonica S.A.
D6AAF0,Mercedes-Benz Group AG
D6E5A4,Sampo PLC
D6F456,Mediobanca SPA
D70BD1,Amundi SA
D72826,M&G PLC
D74613,Snam S.p.A.
D7998C,Repsol S.A.
D7A681,L'Oreal S.A.
D7EAC4,Turkiye Vakiflar Bankasi T.A.O.
A42637,Prosus N.V.
A473AE,Compagnie Financiere Richemont S.A.
A52060,Legrand S.A.
A584AC,Orkla ASA
A5C69D,Assicurazioni Generali S.p.A.
A6BE37,Ascendis Pharma A/S
A75ABE,Wolters Kluwer N.V.
DC1C24,StoreBrand ASA
DC9BEC,Sabanci Holding A.S.
DD394F,Ferrari N.V.
DD92E7,Bayer AG
DE2196,Saab AB
DE27F9,Chubb Ltd.
DE344E,Kering S.A.
DED1A2,Teleperformance SE
535088,Exor N.V.
7P7AI5,IONOS Group SE
840EAB,Compagnie de Saint-Gobain S.A.
84E553,Entain PLC
85A2FF,SBM Offshore N.V.
85F42A,Aalberts N.V.
86170D,Spotify Technology S.A.
879C3F,Azimut Holding S.p.A.
EVK36Y,Lottomatica Group S.p.A.
DE4VPR,Birkenstock Holding PLC
PPCM8I,ARM Holdings PLC
900497,Harbour Energy PLC
9022A0,Aviva PLC
9114B8,OMV AG
91B8B1,Accenture PLC
ACDC6E,Andritz AG
FA4263,Tesco PLC
FAACAB,Schaeffler AG
FB2FD7,MOL Nyrt.
FB49DF,SSE PLC
FB9D0C,PSP Swiss Property AG
FC1B88,Epiroc AB
FC4652,nVent Electric PLC
FC9869,Verbund AG
DA1088,D¿Ieteren Group S.A.
DD5C33,International Airlines Group
F13DEB,Aselsan Elektronik San. Ve Tic. A.S.
D90F5F,DEME Group N.V.
8876D6,Adidas AG
890255,Shell PLC
89054D,Saipem S.p.A.
894CB4,Allegro.eu S.A.
895B74,KOC Holding A.S.
FF3695,Fraport AG
FF4255,JCDecaux SE
FF8514,SAP SE
FF9BF1,Pandora A/S
FFC922,Enka Insaat ve Sanayi A.S.
FFF3BE,AXA S.A.
239066,Investment AB Latour
P8JWMZ,CVC Capital Partners PLC
AD475F,Norsk Hydro ASA
AE0DB4,ENI S.p.A.
AE4ACE,Bank of Ireland Group PLC
AE8CE0,Telenor ASA
AE8D72,Christian Dior SE
AEA57C,Jazz Pharmaceuticals PLC
AF1F4C,Kingfisher PLC
AFCFF2,ASML Holding N.V.
2MKYI7,Galderma Group AG
7C1C76,BioNTech SE
7C37A3,Eregli Demir ve Celik Fabrikalari T.A.S.
7C5E15,Zurich Insurance Group AG
7D453A,BAWAG Group AG
7D6547,Swiss Prime Site AG
ED869A,Iberdrola S.A.
EEA1E7,Severn Trent PLC
EF958F,Colruyt Group NV
EFF3A0,Berkeley Group Holdings PLC
7EBC5B,Sika AG
7ED6E7,Essity AB
6F02DF,DNB Bank ASA
0E1492,Glencore PLC
0E2789,United Utilities Group PLC
0E64D4,Credit Agricole S.A.
972D61,Weir Group PLC
974EBF,Autotrader Group PLC
97C9D9,Novonesis A/S
9897E7,EMS-Chemie Holding AG
98D58B,Bucher Industries AG
990599,Schneider Electric SE
99333F,Johnson Controls International PLC
995014,Avanza Bank Holding AB
995F22,Getinge AB
998DD0,Reply S.p.A.
9A3FF4,Allegion PLC
9A95B8,Traton SE
9AEA2D,Continental AG
9AEC7B,Barry Callebaut AG
9B0864,Lifco AB
9B16D5,Deutsche Bank AG
9B35B9,Huber+Suhner AG
9B816C,Rightmove PLC
9B88E4,Lion Finance Group PLC
9BA7AA,Turkiye Garanti Bankasi A.S.
9C7B0D,KGHM Polska Miedz S.A.
9CAC83,James Hardie Industries PLC
9D1E1A,Groupe Bruxelles Lambert S.A.
00593E,Wartsila Oyj
0077DF,ICG PLC
00DE46,Beijer Ref AB
0119FA,BT Group PLC
011F88,Arkema S.A.
83397D,SalMar ASA
8346F3,Nibe Industrier AB
80D76F,PDD Holdings Inc.
651C38,Vienna Insurance Group AG
C5EF8D,Aon PLC
C5F3D4,Wacker Chemie AG
C5F463,BASF SE
C6389F,ORLEN S.A.
C69207,Buzzi SpA
D21EF3,Garmin Ltd.
D2E904,AAK AB
D33270,BAE Systems PLC
