RP_COMPANY_ID,COMPANY_NAME,COUNTRY,SECTOR
52BF94,MRC Global Inc.,United States,Energy
13ACB6,Canon Inc.,Japan,Technology
74AC09,Yonyou Network Technology Co. Ltd.,China,Technology
1272B3,Ameresco Inc.,United States,Energy
28B730,OPENLANE Inc.,United States,Consumer Services
60854E,PT Bayan Resources Tbk,Indonesia,Basic Materials
EA62FC,Regal Rexnord Corp.,United States,Industrials
D2B07F,Fukuoka Financial Group Inc.,Japan,Financials
54CA37,Wavestone S.A.,France,Technology
7AF0E6,Burford Capital Ltd.,Guernsey,Financials
C941DC,Veracyte Inc.,United States,Health Care
368557,Haitian International Holdings Ltd.,Cayman Islands,Industrials
0EBF77,Safaricom,Kenya,Telecommunications
C11C46,EverQuote Inc.,United States,Technology
U9LBTE,Shanghai QiFan Cable Co. Ltd.,China,Industrials
A16687,Osaka Titanium Technologies Co. Ltd.,Japan,Basic Materials
0454D5,Caregen Co. Ltd.,South Korea,Health Care
7B1156,Manitowoc Co. Inc.,United States,Industrials
439E01,Hengan International Group Co. Ltd.,Cayman Islands,Consumer Goods
E8E1FA,VGI PCL,Thailand,Consumer Services
D64012,Range iData Tech Group Co. Ltd.,China,Technology
E86BF1,Shanghai Fullhan Microelec Co. Ltd.,China,Technology
15B10D,Avid Technology Inc.,United States,Technology
DB9B5F,Neusoft Corp.,China,Technology
B656AE,Beijing Aosaikang Pharma Co. Ltd.,China,Health Care
E907BF,AECC Aviation Power Co. Ltd.,China,Industrials
7DA473,Daicel Corp.,Japan,Basic Materials
973981,Chengdu Spaceon Electronics Co. Ltd.,China,Technology
F1F7BF,Via Technologies Inc.,Taiwan,Technology
9298FB,Altus Power Inc.,United States,Energy
46AFA9,CJ Corp.,South Korea,Consumer Goods
CB8367,Whirlpool of India Ltd.,India,Consumer Goods
4B5054,Portland General Electric Co.,United States,Utilities
975626,Semirara Mining & Power Corp.,Philippines,Basic Materials
06AC79,BNY Mellon Strategic Muni Bond Fund Inc.,United States,Financials
2F50C5,Thunder Software Technology Co. Ltd.,China,Technology
BB20DC,PT Mayora Indah Tbk,Indonesia,Consumer Goods
52DCBD,GMO Payment Gateway Inc.,Japan,Industrials
55BF97,Huaku Development Co. Ltd.,Taiwan,Real Estate
132042,Komatsu Ltd.,Japan,Industrials
A75ABE,Wolters Kluwer N.V.,The Netherlands,Consumer Services
F451D3,Wuestenrot & Wuerttembergische AG,Germany,Financials
25017A,SBI Cards and Payment Services Ltd.,India,Financials
1216D1,Horizon Bancorp Inc.,United States,Financials
7495F1,GCL Energy Technology Co. Ltd.,China,Utilities
EF0C94,Jinxin Fertility Group Ltd.,Cayman Islands,Health Care
C56627,Brookfield Business Partners L.P.,Bermuda,Financials
24A6BD,Huaming Power Equipment Co. Ltd.,China,Industrials
65AB30,Nurix Therapeutics Inc.,United States,Health Care
8E1ED2,Petrobras,Brazil,Energy
603179,Proximus N.V.,Belgium,Telecommunications
FBD2FD,Genpact Ltd.,Bermuda,Industrials
9B35B9,Huber+Suhner AG,Switzerland,Technology
306623,Green Plains Inc.,United States,Energy
377330,Hubei Dinglong Co. Ltd.,China,Technology
F3DC2D,Elgi Equipments Ltd.,India,Industrials
A9CC8E,BlueFocus Intelligent Comms Grp Co. Ltd.,China,Consumer Services
222773,Juniper II Corp.,United States,Financials
32D016,China Longyuan Power Group Corp. Ltd.,China,Energy
B73B08,argenx SE,The Netherlands,Health Care
4E3AB2,Integral Ad Science Holding Corp.,United States,Consumer Services
A5CCBB,PT Medco Energi Internasional Tbk,Indonesia,Energy
4F728C,Shennan Circuits Co. Ltd.,China,Industrials
7B4DD3,HK Electric Inv & HK Electric Inv Ltd.,Hong Kong SAR,Utilities
C7C54E,Fukuoka REIT Corp.,Japan,Real Estate
8A104C,Shenzhen Goodix Technology Co. Ltd.,China,Technology
3B98FB,The Star Entertainment Group Ltd.,Australia,Consumer Services
5EF130,Thermon Group Holdings Inc.,United States,Industrials
AFF0EB,Lojas Renner S.A.,Brazil,Consumer Services
684556,JK Lakshmi Cement Ltd.,India,Industrials
1A5FA7,Tata Power Co. Ltd.,India,Utilities
BB6DA7,Siemens Ltd.,India,Industrials
BBBB41,AGCO Corp.,United States,Industrials
D51FB2,Soitec S.A.,France,Technology
USF06H,Vietnam Maritime Commercial JS Bank,Vietnam,Financials
OISDEM,Jinan Acetate Chemical Co. Ltd.,Cayman Islands,Basic Materials
49DB9F,Intapp Inc.,United States,Technology
